region,year,service_type,service_level,total,rural,urban
Northern Africa and Western Asia,2009,Sanitation,Safely managed service,32.42634,NA,45.34611
Northern Africa and Western Asia,2009,Drinking water,At least basic,88.3115,77.73608,95.49914
Northern Africa and Western Asia,2010,Sanitation,At least basic,NA,71.08817,NA
Northern Africa and Western Asia,2010,Sanitation,Safely managed service,33.19482,NA,46.01072
Northern Africa and Western Asia,2010,Drinking water,At least basic,88.86018,78.68508,95.66421
Northern Africa and Western Asia,2011,Sanitation,At least basic,NA,71.92878,NA
Northern Africa and Western Asia,2011,Sanitation,Safely managed service,33.89695,NA,46.5994
Northern Africa and Western Asia,2011,Drinking water,At least basic,89.39429,79.65367,95.82022
Northern Africa and Western Asia,2012,Sanitation,At least basic,NA,72.75808,NA
Northern Africa and Western Asia,2012,Sanitation,Safely managed service,34.56212,NA,47.14043
Northern Africa and Western Asia,2012,Drinking water,At least basic,89.9205,80.62202,95.97378
Northern Africa and Western Asia,2013,Sanitation,At least basic,NA,73.57909,NA
Northern Africa and Western Asia,2013,Sanitation,Safely managed service,35.20662,NA,47.65582
Northern Africa and Western Asia,2013,Drinking water,At least basic,90.44086,81.59036,96.12763
Northern Africa and Western Asia,2014,Sanitation,At least basic,NA,74.3629,NA
Northern Africa and Western Asia,2014,Sanitation,Safely managed service,35.82972,NA,48.14975
Northern Africa and Western Asia,2014,Drinking water,At least basic,90.96775,82.58032,96.28877
Northern Africa and Western Asia,2015,Sanitation,At least basic,NA,75.10873,NA
Northern Africa and Western Asia,2015,Sanitation,Safely managed service,36.4763,NA,48.66425
Northern Africa and Western Asia,2015,Drinking water,At least basic,91.47571,83.51032,96.45593
Northern Africa and Western Asia,2016,Sanitation,At least basic,NA,75.48228,NA
Northern Africa and Western Asia,2016,Sanitation,Safely managed service,37.02358,NA,49.06067
Northern Africa and Western Asia,2016,Drinking water,At least basic,91.82744,84.13578,96.57024
Northern Africa and Western Asia,2017,Sanitation,At least basic,NA,75.54139,NA
Northern Africa and Western Asia,2017,Sanitation,Safely managed service,37.54103,NA,49.41719
Northern Africa and Western Asia,2017,Drinking water,At least basic,91.96403,84.32624,96.61088
Oceania,2000,Sanitation,At least basic,37.51776,25.91121,75.34827
Oceania,2000,Drinking water,At least basic,52.31904,40.46311,90.96242
Oceania,2001,Sanitation,At least basic,37.45459,25.804,75.53227
Oceania,2001,Drinking water,At least basic,52.1748,40.45792,90.46917
Oceania,2002,Sanitation,At least basic,37.28334,25.64359,75.47745
Oceania,2002,Drinking water,At least basic,51.99954,40.27647,90.46704
Oceania,2003,Sanitation,At least basic,37.20999,25.58715,75.50036
Oceania,2003,Drinking water,At least basic,51.81742,40.08371,90.47303
Oceania,2004,Sanitation,At least basic,37.1323,25.51942,75.53124
Oceania,2004,Drinking water,At least basic,51.6391,39.89168,90.48292
Oceania,2005,Sanitation,At least basic,36.62889,24.97842,75.27573
Oceania,2005,Drinking water,At least basic,51.83553,40.14929,90.60103
Oceania,2006,Sanitation,At least basic,36.13006,24.43845,75.01847
Oceania,2006,Drinking water,At least basic,52.04208,40.40689,90.74287
Oceania,2007,Sanitation,At least basic,35.63506,23.90089,74.75777
Oceania,2007,Drinking water,At least basic,52.25859,40.67473,90.88013
Oceania,2008,Sanitation,At least basic,35.14062,23.35452,74.50165
Oceania,2008,Drinking water,At least basic,52.4913,40.95324,91.02398
Oceania,2009,Sanitation,At least basic,34.64867,22.81693,74.21111
Oceania,2009,Drinking water,At least basic,52.73457,41.23905,91.17277
Oceania,2010,Sanitation,At least basic,34.15583,22.2794,73.91879
Oceania,2010,Drinking water,At least basic,52.98726,41.53708,91.32308
